URL,category,podcast
https://www.artofmanliness.com/style/facial-hair/five-ways-a-beard-will-make-your-winter-better-and-even-save-your-life/,style,False
https://www.artofmanliness.com/style/facial-hair/diy-holiday-beard-oil/,style,False
https://www.artofmanliness.com/style/facial-hair/how-to-trim-your-beard-video/,style,False
https://www.artofmanliness.com/style/facial-hair/how-to-trim-a-mustache-video/,style,False
https://www.artofmanliness.com/style/facial-hair/the-12-most-infamous-mustaches-of-all-time/,style,False
https://www.artofmanliness.com/style/facial-hair/the-manliest-mustaches-of-all-time/,style,False
https://www.artofmanliness.com/style/facial-hair/the-art-of-manliness-podcast-episode-5-the-cultural-history-of-the-beard-with-allan-peterkin/,style,True
https://www.artofmanliness.com/style/facial-hair/a-treatise-on-the-mustache/,style,False
https://www.artofmanliness.com/style/facial-hair/20-manliest-mustaches-and-beards-from-facial-hair-history/,style,False
https://www.artofmanliness.com/style/ties/how-to-tie-a-bow/,style,False
https://www.artofmanliness.com/style/ties/how-to-recognize-a-quality-tie-in-60-seconds/,style,False
https://www.artofmanliness.com/style/ties/wear-suit-without-tie/,style,False
https://www.artofmanliness.com/style/ties/heres-what-happened-when-i-wore-a-tie-to-work-every-day-for-a-year/,style,False
https://www.artofmanliness.com/style/ties/never-underestimate-the-bolo-tie-baby/,style,False
https://www.artofmanliness.com/style/ties/how-to-tie-a-simple-oriental-necktie-knot/,style,False
https://www.artofmanliness.com/style/ties/how-to-put-a-dimple-in-your-tie/,style,False
https://www.artofmanliness.com/style/ties/5-ways-to-tie-a-scarf-your-60-second-visual-guide/,style,False
https://www.artofmanliness.com/style/ties/how-to-tie-a-full-windsor-knot-an-illustrated-guide/,style,False
https://www.artofmanliness.com/style/ties/necktie-tips-for-men-a-visual-guide/,style,False
https://www.artofmanliness.com/style/ties/how-to-tie-a-four-in-hand-necktie-knot-your-60-second-visual-guide/,style,False
https://www.artofmanliness.com/style/ties/match-tie-with-shirt-suit/,style,False
https://www.artofmanliness.com/style/ties/cravatology-101-and-the-mountain-and-sackett-authentic-regimental-tie-giveaway/,style,False
https://www.artofmanliness.com/style/ties/keep-your-ties-in-tip-top-shape/,style,False
https://www.artofmanliness.com/health-fitness/fitness/why-every-man-should-be-strong/,health-fitness,False
https://www.artofmanliness.com/health-fitness/fitness/how-to-throw-a-left-hook/,health-fitness,False
https://www.artofmanliness.com/health-fitness/health/whats-the-deal-with-electrolytes-anyway/,health-fitness,False
https://www.artofmanliness.com/health-fitness/fitness/what-to-do-if-you-dont-feel-like-working-out/,health-fitness,False
https://www.artofmanliness.com/health-fitness/fitness/how-often-should-you-one-rep-max/,health-fitness,False
https://www.artofmanliness.com/health-fitness/fitness/podcast-905-become-a-morning-workout-person/,health-fitness,True
https://www.artofmanliness.com/health-fitness/fitness/how-to-bench-press/,health-fitness,False
https://www.artofmanliness.com/health-fitness/health/melatonin-everything-you-need-to-know/,health-fitness,False
https://www.artofmanliness.com/health-fitness/health/podcast-900-the-myths-and-truths-around-suicide/,health-fitness,True
https://www.artofmanliness.com/health-fitness/fitness/adjustable-dumbbell-review-which-set-deserves-a-spot-in-your-gym/,health-fitness,False
https://www.artofmanliness.com/health-fitness/health/podcast-893-optimize-your-testosterone/,health-fitness,True
https://www.artofmanliness.com/health-fitness/fitness/shoulder-workout-for-men/,health-fitness,False
https://www.artofmanliness.com/health-fitness/fitness/how-long-does-it-take-to-put-on-muscle/,health-fitness,False
https://www.artofmanliness.com/health-fitness/fitness/does-yelling-while-exercising-make-you-stronger/,health-fitness,False
https://www.artofmanliness.com/health-fitness/fitness/podcast-885-the-essential-habits-for-becoming-an-agile-vital-and-durable-human-being/,health-fitness,True
https://www.artofmanliness.com/health-fitness/fitness/why-are-dumbbells-called-dumbbells/,health-fitness,False
https://www.artofmanliness.com/health-fitness/fitness/podcast-877-the-fitness-supplements-that-actually-work/,health-fitness,True
https://www.artofmanliness.com/health-fitness/fitness/how-to-throw-a-dynamite-straight-punch/,health-fitness,False
https://www.artofmanliness.com/health-fitness/fitness/podcast-866-move-the-body-heal-the-mind/,health-fitness,True
https://www.artofmanliness.com/health-fitness/fitness/bro-basics-the-dip/,health-fitness,False
https://www.artofmanliness.com/health-fitness/fitness/zone-2-cardio-podcast-viada/,health-fitness,True
https://www.artofmanliness.com/health-fitness/health/the-importance-of-building-your-daily-sleep-pressure/,health-fitness,False
https://www.artofmanliness.com/health-fitness/health/podcast-888-the-science-of-a-better-daily-routine/,health-fitness,True
https://www.artofmanliness.com/health-fitness/health/the-digestive-power-of-an-after-dinner-walk/,health-fitness,False
https://www.artofmanliness.com/health-fitness/health/podcast-873-the-myths-of-trauma/,health-fitness,True
https://www.artofmanliness.com/health-fitness/health/extended-fasting-to-heal-the-body/,health-fitness,False
https://www.artofmanliness.com/health-fitness/health/how-testosterone-makes-men-men/,health-fitness,False
https://www.artofmanliness.com/health-fitness/health/how-saunas-can-help-save-your-body-mind-and-spirit/,health-fitness,False
https://www.artofmanliness.com/health-fitness/health/podcast-852-the-brain-energy-theory-of-mental-illness/,health-fitness,True
