ID,URL
146,https://www.artofmanliness.com/character/advice/podcast-924-how-to-develop-rugged-flexibility/
147,https://www.artofmanliness.com/character/advice/podcast-753-take-back-the-weekend/
148,https://www.artofmanliness.com/career-wealth/leadership/podcast-923-leadership-is-overrated/
149,https://www.artofmanliness.com/living/reading/podcast-922-for-whom-the-bell-tolls/
150,https://www.artofmanliness.com/character/advice/podcast-921-brazilian-jiu-jitsu/
151,https://www.artofmanliness.com/character/behavior/podcast-918-unlock-the-power-of-the-unfocused-mind/
152,https://www.artofmanliness.com/character/advice/the-life-were-looking-for-podcast/
153,https://www.artofmanliness.com/podcast/page/2/
154,https://www.artofmanliness.com/style/outfit-guide/a-mans-guide-to-smart-casual/
155,https://www.artofmanliness.com/style/hair/what-to-do-about-dandruff/
156,https://www.artofmanliness.com/style/shoes/how-to-lace-dress-shoes/
157,https://www.artofmanliness.com/style/hair/a-guide-to-barbershop-etiquette/
158,https://www.artofmanliness.com/style/shaving/the-case-for-shaving-at-night/
159,https://www.artofmanliness.com/style/shoes/shoe-shining-guide/
160,https://www.artofmanliness.com/style/clothing/how-to-protect-your-clothing-from-moths/
161,https://www.artofmanliness.com/style/hair/it-will-put-hair-chest/
162,https://www.artofmanliness.com/style/clothing/how-to-wear-corduroy/
163,https://www.artofmanliness.com/style/hair/what-happened-to-the-pocket-comb/
164,https://www.artofmanliness.com/style/hair/a-dudes-guide-to-hair-conditioner/
165,https://www.artofmanliness.com/style/page/2/
166,https://www.artofmanliness.com/style/page/3/
167,https://www.artofmanliness.com/style/page/15/
168,https://www.artofmanliness.com/style/clothing/how-to-wear-a-polo-shirt/
169,https://www.artofmanliness.com/style/clothing/the-sometimes-always-never-3-button-rule/
170,https://www.artofmanliness.com/style/clothing/the-camp-collar-shirt/
171,https://www.artofmanliness.com/style/clothing/how-to-fold-a-suit-for-packing/
172,https://www.artofmanliness.com/style/clothing/how-to-wear-a-turtleneck-without-looking-like-a-dweeb/
173,https://www.artofmanliness.com/style/clothing/the-minimal-wardrobe-how-to-choose-a-swiss-army-overcoat/
174,https://www.artofmanliness.com/style/clothing/suit-sport-jacket-blazer-difference/
175,https://www.artofmanliness.com/style/clothing/the-complete-guide-on-how-to-roll-up-your-shirt-sleeves/
176,https://www.artofmanliness.com/style/clothing/how-tuck-in-shirt/
177,https://www.artofmanliness.com/style/clothing/how-many-times-you-can-wear-your-clothes-between-washes/
178,https://www.artofmanliness.com/style/clothing/the-fall-jacket-a-recommendation/
179,https://www.artofmanliness.com/style/clothing/jeans-little-pocket/
180,https://www.artofmanliness.com/style/clothing/the-best-damn-guide-to-mens-t-shirts-on-the-internet/
181,https://www.artofmanliness.com/style/clothing/how-a-mens-dress-shirt-should-fit/
182,https://www.artofmanliness.com/style/clothing/page/2/
183,https://www.artofmanliness.com/style/clothing/page/3/
184,https://www.artofmanliness.com/style/clothing/page/4/
185,https://www.artofmanliness.com/style/accessories/the-colognes-of-famous-men/
186,https://www.artofmanliness.com/style/accessories/matching-your-watch-with-your-clothes/
187,https://www.artofmanliness.com/style/accessories/how-to-match-belt-with-clothes/
188,https://www.artofmanliness.com/style/accessories/complete-guide-mens-belts/
189,https://www.artofmanliness.com/style/accessories/affordable-alternatives-classic-luxury-watches/
190,https://www.artofmanliness.com/style/accessories/mans-guide-wristwatches-choose-watch/
191,https://www.artofmanliness.com/style/accessories/mans-guide-wristwatches-history-wear-one/
192,https://www.artofmanliness.com/style/accessories/ring-finger-symbolism/
193,https://www.artofmanliness.com/style/accessories/the-always-sometimes-never-sunglass-matrix-an-illustrated-guide/
194,https://www.artofmanliness.com/style/accessories/how-to-rock-a-pocket-square-an-illustrated-guide/
195,https://www.artofmanliness.com/style/accessories/how-to-pick-aviator-shades/
196,https://www.artofmanliness.com/style/accessories/how-to-take-care-of-a-hat/
197,https://www.artofmanliness.com/style/accessories/how-to-pick-the-perfect-pair-of-sunglasses-video/
198,https://www.artofmanliness.com/style/men-winter-hat-guide/
199,https://www.artofmanliness.com/style/accessories/say-no-to-body-spray/
200,https://www.artofmanliness.com/style/accessories/mans-guide-wearing-jewelry/
201,https://www.artofmanliness.com/style/accessories/page/2/
202,https://www.artofmanliness.com/style/facial-hair/how-to-grow-a-mustache/
